happiness_classification,norm_imports,norm_exports,fear,anger,surprise,sadness,disgust,joy,anticipation,year,country
happy,2.8587454124582177,2.8548591859109744,0.11312849162011174,0.09776536312849161,0.025139664804469275,0.06005586592178771,0.04329608938547486,0.06983240223463687,0.07262569832402235,2009,Colombia
happy,2.5866080507057725,2.8538554835890215,0.10582010582010581,0.06525573192239859,0.02821869488536155,0.0564373897707231,0.05114638447971781,0.07054673721340388,0.07583774250440917,2009,Peru
happy,9.860056249819792,9.668658342160949,0.08090614886731391,0.045307443365695796,0.025889967637540454,0.042071197411003236,0.032362459546925564,0.07119741100323625,0.08737864077669903,2009,Italy
not-happy,0.9024023504973453,0.19104662625220134,0.07910750507099391,0.05476673427991886,0.02028397565922921,0.04665314401622718,0.02434077079107505,0.09330628803245436,0.09330628803245436,2009,Lebanon
happy,0.2695713515576697,0.5192753657041947,0.09424083769633508,0.034031413612565446,0.031413612565445025,0.031413612565445025,0.013089005235602094,0.07591623036649214,0.09947643979057591,2009,Qatar
happy,7.846349424227155,6.046399866144228,0.06548672566371681,0.04601769911504425,0.01415929203539823,0.03716814159292035,0.024778761061946902,0.07964601769911504,0.11150442477876106,2009,Spain
not-happy,0.44263924398831705,0.3648477313525583,0.07945205479452055,0.06575342465753424,0.01643835616438356,0.03561643835616438,0.019178082191780823,0.1095890410958904,0.09315068493150686,2009,Mauritania
happy,0.14282184773162274,0.0914955778838299,0.06273764258555133,0.026615969581749048,0.03612167300380228,0.022813688212927757,0.013307984790874524,0.09125475285171103,0.11596958174904944,2009,Malta
not-happy,2.563974247813527,1.2766501846479807,0.12164073550212164,0.08345120226308345,0.03536067892503536,0.0594059405940594,0.04809052333804809,0.07213578500707214,0.07637906647807638,2009,Yemen
not-happy,9.397050136981077,11.399504350302863,0.06808510638297872,0.03546099290780142,0.028368794326241134,0.032624113475177303,0.03404255319148936,0.07801418439716312,0.10354609929078014,2009,Nigeria
not-happy,1.6126436106984687,0.6705584695910923,0.06575963718820861,0.045351473922902494,0.031746031746031744,0.03968253968253968,0.01927437641723356,0.10090702947845805,0.10770975056689343,2009,Senegal
not-happy,1.053304229973605,0.2613071468799869,0.08167770419426049,0.04415011037527594,0.03090507726269316,0.04304635761589404,0.02207505518763797,0.08940397350993377,0.10264900662251655,2009,Nepal
not-happy,2.5785041496592362,1.9255737174847156,0.07332293291731669,0.0374414976599064,0.031201248049921998,0.031201248049921998,0.0187207488299532,0.09516380655226209,0.093603744149766,2009,Romania
not-happy,4.691238179865075,2.530374955933552,0.05177993527508091,0.032362459546925564,0.022653721682847898,0.030744336569579287,0.021035598705501618,0.07766990291262135,0.09385113268608414,2009,Egypt
not-happy,1.639246521762221,0.6701504088977241,0.075,0.05357142857142857,0.02857142857142857,0.07142857142857142,0.05,0.05,0.1,2009,Uganda
not-happy,0.7800452379706166,0.3120029047227496,0.08707865168539326,0.07162921348314606,0.028089887640449437,0.06179775280898876,0.0449438202247191,0.08146067415730338,0.07303370786516854,2009,Nicaragua
not-happy,0.6649166184904635,1.323381723690386,0.07674418604651163,0.037209302325581395,0.030232558139534883,0.037209302325581395,0.013953488372093023,0.07674418604651163,0.09534883720930233,2009,Chad
happy,2.1133224468239065,2.7382077086091146,0.0847457627118644,0.03954802259887006,0.035781544256120526,0.047080979284369114,0.015065913370998116,0.07532956685499058,0.09981167608286252,2009,Chile
happy,1.2007253980102455,0.4251732855551137,0.04866562009419152,0.04709576138147567,0.029827315541601257,0.029827315541601257,0.018838304552590265,0.0847723704866562,0.09733124018838304,2009,Jordan
happy,2.6399517457334705,2.8768307408194795,0.0784313725490196,0.04634581105169341,0.026737967914438502,0.0392156862745098,0.023172905525846704,0.08021390374331551,0.0944741532976827,2009,Sweden
not-happy,168.06441177703488,188.58473635805643,0.053465346534653464,0.039603960396039604,0.02178217821782178,0.027722772277227723,0.02178217821782178,0.08712871287128712,0.10297029702970296,2009,China
happy,6.523043699626328,5.959598696582081,0.10198300283286119,0.036827195467422094,0.036827195467422094,0.07365439093484419,0.031161473087818695,0.05099150141643059,0.0821529745042493,2009,Poland
